,title,year,genre,ratting
91,Heroes,(II) (2006–2010),"Drama, Fantasy, Sci-Fi",7.5
92,The OA,(2016–2019),"Drama, Fantasy, Mystery",7.8
93,Castlevania,(2017–2021),"Animation, Action, Adventure",8.3
94,One Punch Man: Wanpanman,(2015–2019),"Animation, Action, Comedy",8.8
95,"Love, Death & Robots",(2019– ),"Animation, Short, Action",8.5
96,Miracle Workers,(2019– ),"Comedy, Drama, Fantasy",7.1
97,Star Wars: Rebels,(2014–2018),"Animation, Action, Adventure",8.0
98,Shadowhunters: The Mortal Instruments,(2016–2019),"Action, Drama, Fantasy",6.6
99,Harley Quinn,(2019– ),"Animation, Action, Adventure",8.5
100,Inside Job,(2021– ),"Animation, Comedy, Fantasy",7.7
101,The Witcher: Blood Origin,(2022– ),"Action, Adventure, Drama", 
102,Chilling Adventures of Sabrina,(2018–2020),"Drama, Fantasy, Horror",7.4
103,Armor Wars,,"Action, Adventure, Drama", 
104,Fantasy Island,(2021– ),"Adventure, Drama, Fantasy",6.1
105,Home Movie: The Princess Bride,(2020– ),"Short, Comedy, Fantasy",7.5
106,Castle Rock,(2018–2019),"Drama, Fantasy, Horror",7.6
107,Boruto: Naruto Next Generations,(2017– ),"Animation, Action, Adventure",7.0
108,Good Witch,(2015–2021),"Comedy, Drama, Fantasy",7.3
109,Penny Dreadful,(2014–2016),"Drama, Fantasy, Horror",8.2
110,Cursed,(2020),"Adventure, Drama, Fantasy",5.9
111,Sabrina the Teenage Witch,(1996–2003),"Comedy, Family, Fantasy",6.7
112,The Strain,(2014–2017),"Drama, Fantasy, Horror",7.3
113,Lost in Space,(1965–1968),"Adventure, Comedy, Family",7.2
114,Lovecraft Country,(2020),"Drama, Fantasy, Horror",7.1
115,High School DxD,(2012–2018),"Animation, Action, Comedy",7.6
116,Batman,(1966–1968),"Action, Adventure, Comedy",7.5
117,Motherland: Fort Salem,(2020–2022),"Drama, Fantasy, Sci-Fi",7.3
118,Van Helsing,(2016–2021),"Action, Drama, Fantasy",6.2
119,The Legend of Korra,(2012–2014),"Animation, Action, Adventure",8.3
120,Disenchantment,(2018– ),"Animation, Action, Adventure",7.2
121,Bulgasal,(2021– ),"Drama, Fantasy, Thriller",7.5
122,Dragon Ball Z,(1989–2003),"Animation, Action, Adventure",8.7
123,Warrior Nun,(2020– ),"Action, Drama, Fantasy",6.9
124,Misfits,(2009–2013),"Comedy, Drama, Fantasy",8.2
125,Preacher,(2016–2019),"Adventure, Drama, Fantasy",7.9
126,The Shannara Chronicles,(2016–2017),"Adventure, Fantasy, Sci-Fi",7.2
127,Jupiter's Legacy,(2021),"Action, Adventure, Drama",6.7
128,Wu Assassins,(2019),"Action, Crime, Drama",6.4
129,Supernatural Academy,(2021– ),"Animation, Drama, Fantasy",6.9
130,Dirk Gently's Holistic Detective Agency,(2016–2017),"Action, Adventure, Comedy",8.2
131,The Outpost,(2018–2021),"Action, Adventure, Drama",6.5
132,Star Wars: Visions,(2021– ),"Animation, Action, Adventure",7.1
133,Ragnarok,(2020– ),"Action, Drama, Fantasy",7.5
134,Ahsoka,,"Action, Adventure, Drama", 
135,Charmed,(2018– ),"Drama, Fantasy, Mystery",4.7
136,The Order,(2019–2020),"Drama, Fantasy, Horror",6.8
137,Ghost Whisperer,(2005–2010),"Drama, Fantasy",6.4
138,The Stand,(1994),"Adventure, Drama, Fantasy",7.2
139,Sweet Home,(2020– ),"Drama, Fantasy, Horror",7.4
140,The Twilight Zone,(2019–2020),"Drama, Fantasy, Horror",5.8
141,Regular Show,(2009–2017),"Animation, Action, Adventure",8.5
142,Avatar: The Last Airbender,,"Action, Adventure, Comedy", 
143,Firebite,(2021– ),Fantasy,5.0
144,Spider-Man: Freshman Year,,"Animation, Action, Adventure", 
145,Sword Art Online,(2012– ),"Animation, Action, Adventure",7.5
146,The Owl House,(2020– ),"Animation, Action, Adventure",8.0
147,I Am Not Okay with This,(2020),"Comedy, Drama, Fantasy",7.5
148,Pushing Daisies,(2007–2009),"Comedy, Drama, Fantasy",8.3
149,I Am Groot,(2022– ),"Animation, Short, Action", 
150,Galavant,(2015–2016),"Adventure, Comedy, Fantasy",8.1
151,Creepshow,(2019– ),"Fantasy, Horror, Mystery",7.1
152,The Librarians,(2013–2018),"Action, Adventure, Comedy",7.3
153,Future Man,(2017–2020),"Action, Adventure, Comedy",7.7
154,Ally McBeal,(1997–2002),"Comedy, Drama, Fantasy",6.8
155,Into the Dark,(2018– ),"Drama, Fantasy, Horror",6.4
156,Sleepy Hollow,(2013–2017),"Action, Adventure, Crime",7.4
157,Nanatsu no taizai,(2014–2021),"Animation, Action, Adventure",7.9
158,Dracula,(2020– ),"Drama, Fantasy, Horror",6.8
159,Yakusoku no Neverland,(2019–2021),"Animation, Action, Adventure",8.4
160,Mushoku-tensei ~Isekai ittara honki dasu~,(2021– ),"Animation, Adventure, Drama",8.4
161,The Gifted,(I) (2017–2019),"Action, Drama, Fantasy",7.3
162,I Dream of Jeannie,(1965–1970),"Comedy, Family, Fantasy",7.4
163,Tokyo Ghoul,(2014),"Animation, Action, Drama",7.8
164,Eternals,(2014– ),"Animation, Adventure, Fantasy",6.4
165,Critical Role,(2015– ),"Adventure, Fantasy",9.2
166,Carnivàle,(2003–2005),"Drama, Fantasy, Mystery",8.4
167,Kenpû Denki Berserk,(1997–1998),"Animation, Action, Adventure",8.7
168,Wynonna Earp,(2016–2021),"Action, Drama, Fantasy",7.5
169,Marvel Zombies,,"Animation, Action, Adventure", 
170,Xena: Warrior Princess,(1995–2001),"Action, Adventure, Drama",6.7
171,Poketto monsutâ,(1997– ),"Animation, Action, Adventure",7.5
172,Steven Universe,(2013–2020),"Animation, Action, Adventure",8.1
173,Beauty and the Beast,(1987–1990),"Crime, Fantasy, Drama",7.0
174,Sseulsseulhago Chalranhashin: Dokkaebi,(2016–2017),"Comedy, Drama, Fantasy",8.6
175,Wednesday,(2022– ),"Comedy, Family, Fantasy", 
176,Swamp Thing,(2019),"Action, Adventure, Drama",7.5
177,Siren,(2018–2020),"Drama, Fantasy",7.0
178,Sanctuary,(2008–2011),"Action, Drama, Fantasy",7.3
