,title,year,genre,ratting
392,Dragon's Dogma,(2020– ),"Animation, Action, Adventure",6.3
393,Dororo,(2019),"Animation, Action, Adventure",8.4
394,Hazbin Hotel,(2019– ),"Animation, Comedy, Crime",7.6
395,Hellsing Ultimate,(2006–2012),"Animation, Action, Fantasy",8.3
396,The Powerpuff Girls,(1998–2005),"Animation, Action, Adventure",7.3
397,Percy Jackson and the Olympians,,"Action, Adventure, Drama", 
398,Are You Afraid of the Dark?,(2019–2021),"Adventure, Drama, Family",7.2
399,Monster Musume no Iru Nichijou,(2015– ),"Animation, Comedy, Fantasy",6.7
400,Goblin Slayer,(2018– ),"Animation, Action, Adventure",7.5
401,Fate/Zero,(2011–2012),"Animation, Action, Adventure",8.3
402,Dragon Ball,(1995–2003),"Animation, Action, Adventure",8.5
403,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei Suru",(2021– ),"Animation, Action, Fantasy",7.5
404,The 10th Kingdom,(2000),"Adventure, Comedy, Family",8.3
405,SurrealEstate,(2021),"Drama, Fantasy, Mystery",7.2
406,Beruseruku,(2016–2017),"Animation, Action, Adventure",6.8
407,The Dead Zone,(2002–2007),"Drama, Fantasy, Mystery",7.4
408,Camelot,(2011),"Drama, Fantasy, History",6.5
409,Eoneu Nal Uri Jib Hyeongwaeuro Myeolmangyi Deuleowassda,(2021– ),"Drama, Fantasy, Romance",8.1
410,Astrid and Lilly Save the World,(2022– ),"Adventure, Comedy, Drama",5.4
411,Mieruko-chan,(2021– ),"Animation, Comedy, Fantasy",7.4
412,The Flash,(1990–1991),"Action, Crime, Fantasy",7.1
413,The Passage,(2019),"Action, Adventure, Drama",7.3
414,Pooreun Badaui Junsul,(2016–2017),"Comedy, Fantasy, Romance",8.1
415,The Wonderful World of Disney,(1997–2005),"Adventure, Comedy, Drama",7.5
416,The Shining,(1997),"Drama, Fantasy, Horror",6.1
417,Kiru ra kiru: KILL la KILL,(2013–2014),"Animation, Action, Comedy",7.9
418,Sabikui Bisco,(2022– ),"Animation, Action, Adventure",7.9
419,Gabby's Dollhouse,(2021– ),"Animation, Short, Adventure",7.2
420,Voltron: Legendary Defender,(2016–2018),"Animation, Action, Adventure",8.0
421,The Odyssey,(1997),"Adventure, Drama, Fantasy",7.0
422,Just Add Magic,(2015– ),"Comedy, Drama, Family",8.3
423,Free Spirit,(1989–1990),"Comedy, Fantasy",6.9
424,The Girl in the Woods,(2021– ),"Drama, Fantasy, Horror",5.4
425,Monsterland,(2020),"Drama, Fantasy, Horror",5.6
426,Sigeuneol,(2016),"Crime, Drama, Fantasy",8.6
427,The Batman,(2004–2008),"Animation, Action, Adventure",7.3
428,Shûmatsu no Valkyrie,(2021– ),"Animation, Action, Adventure",6.2
429,Link Click,(2021– ),"Animation, Action, Fantasy",8.8
430,The Sarah Jane Adventures,(2007–2020),"Action, Adventure, Drama",7.4
431,W - Du gaeui segye,(2016),"Drama, Fantasy, Romance",8.1
432,Kaifuku Jutsushi no Yarinaoshi,(2021– ),"Animation, Action, Adventure",6.3
433,The Twilight Zone,(1985–1989),"Drama, Fantasy, Horror",7.8
434,Scooby-Doo! Mystery Incorporated,(2010–2013),"Animation, Adventure, Comedy",8.0
435,Saving Grace,(2007–2010),"Drama, Fantasy",7.6
436,Watership Down,(2018),"Animation, Action, Adventure",7.3
437,Man Seeking Woman,(2015–2017),"Comedy, Fantasy, Romance",7.8
438,The Worst Witch,(2017– ),"Family, Fantasy",7.3
439,Hotel Transylvania,(2017–2020),"Animation, Comedy, Family",5.5
440,Reaper,(2007–2009),"Adventure, Comedy, Drama",7.7
441,The Acolyte,,"Action, Adventure, Drama", 
442,Relic Hunter,(1999–2002),"Fantasy, Mystery, Adventure",6.6
443,Equinox,(2020– ),"Drama, Fantasy, Mystery",6.1
444,Powerpuff,,"Action, Adventure, Comedy", 
445,Here and Now,(2018),"Comedy, Drama, Fantasy",6.8
446,Tru Calling,(2003–2005),"Drama, Fantasy, Mystery",7.4
447,X-Men '97,,"Animation, Action, Adventure", 
448,We Baby Bears,(2022– ),"Animation, Adventure, Comedy",6.6
449,Kobayashi-san Chi No Maid Dragon,(2017–2022),"Animation, Comedy, Fantasy",7.7
450,Adventures of the Gummi Bears,(1985–1991),"Animation, Adventure, Family",7.5
451,The New Legends of Monkey,(2018– ),"Action, Adventure, Comedy",6.5
452,Dragon Ball Z: Doragon bôru zetto,(1989–1996),"Animation, Action, Adventure",8.7
453,Being Erica,(2009–2011),"Adventure, Comedy, Drama",7.5
454,The Time Traveler's Wife,,"Animation, Drama, Fantasy", 
455,House of Anubis,(2011–2013),"Adventure, Drama, Family",7.4
456,Chainsaw Man,(2022– ),"Animation, Action, Adventure", 
457,Man from Atlantis,(1977–1978),"Adventure, Fantasy, Sci-Fi",6.5
458,Isekai Mao to Shokan Shojo no Dorei Majutsu,(2018– ),"Animation, Adventure, Comedy",7.0
459,gen:LOCK,(2018– ),"Animation, Action, Adventure",7.2
460,Spawn,(1997–1999),"Animation, Action, Adventure",8.1
461,Scissor Seven,(2018– ),"Animation, Action, Adventure",8.4
462,Light as a Feather,(2018–2019),"Drama, Fantasy, Horror",6.6
463,The Secret World of Alex Mack,(1994–1998),"Comedy, Drama, Family",7.5
464,Marvel Studios: Legends,(2021– ),"Short, Action, Fantasy",6.6
465,House of Mouse,(2001–2003),"Animation, Comedy, Family",7.5
466,Frequency,(2016–2017),"Drama, Fantasy, Mystery",7.5
467,Teenage Euthanasia,(2021– ),"Animation, Comedy, Fantasy",5.7
468,Hercules,(1998–1999),"Animation, Action, Adventure",6.6
469,Wiedzmin,(2002– ),"Action, Adventure, Drama",5.7
470,Mao Gakuin no Futekigosha,(2020–2022),"Animation, Adventure, Comedy",7.3
471,Dummy,(2020– ),"Short, Comedy, Drama",6.6
472,Parker Lewis Can't Lose,(1990–1993),"Comedy, Fantasy",7.9
473,Eojjeoda Balgyeonhan Haru,(2019),"Comedy, Fantasy, Romance",7.8
474,"The Lion, the Witch and the Wardrobe",(1988),"Adventure, Drama, Family",7.2
475,The Grim Adventures of Billy & Mandy,(2001–2007),"Animation, Adventure, Comedy",7.7
476,Star Wars: Lando,,"Action, Adventure, Crime", 
477,Noragami,(2014–2016),"Animation, Action, Adventure",7.9
478,Cleopatra 2525,(2000–2001),"Sci-Fi, Action, Fantasy",5.9
479,Byeol-e-seo on geu-dae,(2013–2014),"Comedy, Drama, Fantasy",8.2
480,Powerless,(2017),"Comedy, Fantasy, Sci-Fi",6.4
481,Yu yu hakusho,(1992–1995),"Animation, Action, Adventure",8.4
482,Rugrats,(2021– ),"Animation, Short, Adventure",3.6
483,Mortal Kombat: Conquest,(1998–1999),"Action, Adventure, Fantasy",6.3
484,Forever,(I) (2018),"Comedy, Drama, Fantasy",7.1
485,The Ghost and Molly McGee,(2021– ),"Animation, Short, Adventure",7.1
486,Paranormal,(2020– ),"Drama, Fantasy, Horror",8.5
487,Tokyo Ghoul: re,(2018),"Animation, Action, Drama",6.7
488,Jonathan Strange & Mr Norrell,(2015),"Fantasy, History, War",8.1
489,He-Man and the Masters of the Universe,(2021),"Animation, Action, Adventure",6.0
490,Beyond Belief: Fact or Fiction,(1997–2002),"Mystery, Thriller, Fantasy",8.0
491,Yasuke,(2021– ),"Animation, Action, Adventure",6.2
492,Wonder Egg Priority,(2021– ),"Animation, Action, Drama",7.7
493,Les revenants,(2012–2015),"Drama, Fantasy, Horror",8.1
494,Hunter x Hunter,(1999–2001),"Animation, Action, Adventure",8.6
495,Genjitsu-shugi-yûsha no ôkoku-saiken-ki,(2021– ),"Animation, Action, Comedy",7.1
496,Vampire Academy,(2022– ),"Drama, Fantasy", 
497,Kuroshitsuji,(2008–2010),"Animation, Action, Comedy",7.7
498,Gan Tteoleojineun Donggeo,(2021),"Comedy, Fantasy, Romance",7.9
499,The Listener,(2009–2014),"Crime, Drama, Fantasy",6.8
500,Batwheels,(2022– ),"Animation, Action, Adventure", 
501,Dorohedoro,(2020– ),"Animation, Action, Comedy",8.1
502,The Three-Body Problem,,"Adventure, Drama, Fantasy", 
503,He-Man and the Masters of the Universe,(1983–1985),"Animation, Action, Adventure",7.5
504,Winx Club,(2004–2019),"Animation, Action, Adventure",6.2
505,Kipo and the Age of Wonderbeasts,(2020),"Animation, Action, Adventure",8.2
506,The Dresden Files,(2007–2008),"Crime, Drama, Fantasy",7.7
507,Aladdin,(1994–1995),"Animation, Action, Adventure",7.3
508,Blade: The Series,(2006),"Action, Drama, Fantasy",6.3
509,Trese,(2021– ),"Animation, Action, Adventure",7.0
510,Mutant X,(2001–2004),"Action, Adventure, Drama",6.0
511,Jackie Chan Adventures,(2000–2005),"Animation, Action, Adventure",7.4
512,La Révolution,(2020),"Action, Adventure, Drama",6.5
513,Dead Pixels,(2019– ),"Comedy, Fantasy",7.4
514,Pair of Kings,(2010–2013),"Comedy, Family, Fantasy",5.9
515,Sailor Moon,(1995–2000),"Animation, Action, Adventure",7.6
516,Mister Rogers' Neighborhood,(1968–2001),"Family, Fantasy, Music",8.6
517,Weird Science,(1994–1998),"Comedy, Fantasy, Sci-Fi",6.8
518,The InBetween,(2019),"Crime, Drama, Fantasy",7.1
519,DC Super Hero Girls,(2019– ),"Animation, Action, Adventure",7.1
520,The God of High School,(2020),"Animation, Action, Adventure",7.3
521,PJ Masks,(2015– ),"Animation, Action, Adventure",5.4
522,Date a Live,(2013– ),"Animation, Action, Comedy",7.0
523,Dog with a Blog,(2012–2015),"Comedy, Drama, Family",4.9
524,Danny Phantom,(2003–2007),"Animation, Action, Adventure",7.1
525,RWBY,(2012– ),"Animation, Action, Adventure",7.6
526,The Lost Room,(2006),"Action, Fantasy, Mystery",8.2
527,El ministerio del tiempo,(2015– ),"Adventure, Comedy, Fantasy",8.2
528,Bishôjo senshi Sêrâ Mûn,(1992–1997),"Animation, Action, Adventure",7.8
529,The Best Sex Ever,(2002–2003),"Adventure, Drama, Fantasy",6.1
530,Find Me in Paris,(2018–2020),"Comedy, Drama, Family",7.2
531,Alice in Wonderland,(II) (1985),"Adventure, Family, Fantasy",7.3
532,Takt Op. Destiny,(2021– ),"Animation, Action, Adventure",7.2
533,Friday the 13th: The Series,(1987–1990),"Fantasy, Horror, Mystery",7.6
534,A Tale Dark & Grimm,(2021– ),"Animation, Action, Adventure",7.3
535,Yonderland,(2013–2016),"Comedy, Fantasy",7.9
536,Tiempos de guerra,(2017),"Drama, Fantasy, Horror",7.6
537,The Erotic Traveler,(2007),"Adventure, Drama, Fantasy",5.8
538,Ao no ekusoshisuto,(2011–2012),"Animation, Action, Drama",7.5
539,Mortal Kombat,(2011–2013),"Short, Action, Adventure",7.4
540,Believe,(2014),"Drama, Fantasy, Sci-Fi",7.1
541,Wolfblood,(2012–2017),"Family, Fantasy",7.6
542,Fate/stay night: Unlimited Blade Works,(2014–2015),"Animation, Action, Adventure",8.0
543,Summer Camp Island,(2018– ),"Animation, Short, Adventure",7.4
544,3Below: Tales of Arcadia,(2018–2019),"Animation, Action, Adventure",7.7
545,Moonlight,(2007–2008),"Drama, Fantasy, Horror",7.6
546,Hwayugi,(2017–2018),"Comedy, Fantasy, Horror",8.1
547,Cidade Invisível,(2021– ),"Crime, Drama, Fantasy",7.3
548,Thundercats,(1985–1989),"Animation, Action, Adventure",7.9
549,Superboy,(1988–1992),"Adventure, Fantasy, Sci-Fi",6.2
550,X-Men: Evolution,(2000–2003),"Animation, Action, Drama",7.8
551,DuckTales,(1987–1990),"Animation, Action, Adventure",8.1
552,Mahouka koukou no rettousei,(2014– ),"Animation, Action, Drama",7.2
553,Word of Honor,(2021– ),"Action, Drama, Fantasy",8.9
554,The Rook,(2019),"Drama, Fantasy, Sci-Fi",6.8
555,Matrix,(1993),"Action, Drama, Fantasy",8.0
556,The Wild Thornberrys,(1998–2004),"Animation, Adventure, Comedy",6.7
557,"No Game, No Life",(2014),"Animation, Adventure, Comedy",7.7
558,Fairfax,(2021– ),"Animation, Adventure, Comedy",4.9
559,The Ray Bradbury Theater,(1985–1992),"Drama, Fantasy, Horror",7.5
560,Beulraek,(2017),"Crime, Drama, Fantasy",7.9
561,La corde,(2021– ),"Drama, Fantasy",5.6
562,Dinotopia,(II) (2002),"Adventure, Family, Fantasy",6.6
563,Bakemonogatari,(2009–2010),"Animation, Action, Comedy",8.0
564,Mike Tyson Mysteries,(2014–2020),"Animation, Adventure, Comedy",8.1
565,Amazing Stories,(1985–1987),"Adventure, Comedy, Drama",7.5
566,RoboCop,(1994),"Action, Adventure, Crime",5.8
567,Foster's Home for Imaginary Friends,(2004–2009),"Animation, Adventure, Comedy",7.6
568,Mo Dao Zu Shi,(2018– ),"Animation, Action, Adventure",8.6
569,Rakudai Kishi no Cavalry,(2015),"Animation, Action, Fantasy",7.3
570,The Magic School Bus,(1994–1997),"Animation, Adventure, Comedy",7.8
571,Robin of Sherwood,(1984–1986),"Action, Drama, Fantasy",8.4
572,Batman: Caped Crusader,(2022– ),"Animation, Action, Adventure", 
573,TaleSpin,(1990–1991),"Animation, Action, Adventure",7.6
574,Tales from the Darkside,(1983–1988),"Comedy, Drama, Fantasy",7.5
575,Hammer House of Horror,(1980),"Drama, Fantasy, Horror",7.6
576,Zapped,(2016–2018),"Comedy, Fantasy",6.8
577,Owari No Seraph,(2015),"Animation, Action, Adventure",7.5
578,Digimon: Digital Monsters,(1999–2003),"Animation, Action, Adventure",7.3
579,Faerie Tale Theatre,(1982–1987),"Adventure, Comedy, Family",8.4
580,The Boss Baby: Back in Business,(2018–2021),"Animation, Adventure, Comedy",6.5
581,Shut Eye,(2016–2017),"Crime, Drama, Fantasy",7.3
582,Boku dake ga inai machi,(2017),"Drama, Fantasy, Mystery",7.8
583,Young Hercules,(1998–1999),"Action, Adventure, Fantasy",5.8
584,Jibaku Shounen Hanako-kun,(2020– ),"Animation, Comedy, Fantasy",7.6
585,The Haunted Hathaways,(2013–2015),"Comedy, Family, Fantasy",5.0
586,R.L. Stine's The Haunting Hour,(2010–2014),"Short, Action, Adventure",7.9
587,Edens Zero,(2021– ),"Animation, Action, Adventure",7.3
588,Joan of Arcadia,(2003–2005),"Comedy, Crime, Drama",7.0
589,American Dragon: Jake Long,(2005–2007),"Animation, Action, Comedy",6.6
590,The Daily Life of the Immortal King,(2020– ),"Animation, Action, Adventure",7.4
591,Spider-Man,(1967–1970),"Animation, Action, Adventure",7.4
592,My Hero,(2000–2007),"Comedy, Fantasy, Romance",6.6
593,Ghostwriter,(2019– ),"Family, Fantasy, Mystery",5.8
594,Awake,(2012),"Drama, Fantasy, Mystery",7.9
595,One Step Beyond,(1959–1961),"Drama, Fantasy, Mystery",7.8
596,666 Park Avenue,(2012–2013),"Drama, Fantasy, Horror",6.9
597,Conan,(1997–1998),"Action, Adventure, Fantasy",5.3
598,Lost in Austen,(2008),"Drama, Fantasy, Romance",7.4
599,Eitin Eogein,(2020),"Comedy, Fantasy, Romance",8.2
600,Dragon Ball Kai: Doragon bôru kai,(2009–2015),"Animation, Action, Adventure",8.2
601,Going Postal,(2010),"Adventure, Comedy, Fantasy",7.8
602,Dragons: Riders of Berk,(2012–2014),"Animation, Action, Adventure",8.0
603,Doc McStuffins,(2012–2020),"Animation, Family, Fantasy",6.5
604,The Ghost & Mrs. Muir,(1968–1970),"Comedy, Fantasy",7.7
605,Olaf Presents,(2021– ),"Animation, Short, Comedy",7.3
606,Mahô shôjo Madoka magika: Puella Magi Madoka Magica,(2011),"Animation, Drama, Fantasy",8.3
607,Doug,(1991–1994),"Animation, Adventure, Comedy",7.4
608,Seirei Gensouki,(2021– ),"Animation, Action, Adventure",7.3
609,The Wiggles,(1998– ),"Adventure, Comedy, Family",5.8
610,The Last Drive-In with Joe Bob Briggs,(2018– ),"Comedy, Fantasy, Horror",9.5
611,Wonderfalls,(2004),"Comedy, Drama, Fantasy",8.2
612,Batman: The Brave and the Bold,(2008–2011),"Animation, Action, Adventure",7.3
613,The Shivering Truth,(2018– ),"Animation, Comedy, Fantasy",8.1
614,Clannad: After Story,(2008–2009),"Animation, Comedy, Drama",8.6
615,Luna Nera,(2020– ),"Drama, Fantasy, Thriller",5.7
616,Pokémon Journeys,(2019– ),"Animation, Adventure, Family",6.7
617,Wizards,(2020),"Animation, Action, Adventure",8.1
618,Creeped Out,(2017–2019),"Drama, Family, Fantasy",6.7
619,Resurrection,(2013–2015),"Drama, Fantasy",7.3
620,Mister Ed,(1958–1966),"Comedy, Family, Fantasy",7.0
621,Tower of God,(2020),"Animation, Action, Adventure",7.7
622,Kureimoa,(2007),"Animation, Action, Adventure",8.0
623,Rise of the Teenage Mutant Ninja Turtles,(2018–2020),"Animation, Action, Adventure",5.4
624,The Patrick Star Show,(2021– ),"Animation, Comedy, Family",3.6
625,Shazam!,(1974–1977),"Action, Family, Fantasy",6.7
626,Ghostwriter,(1992–1995),"Family, Fantasy, Mystery",7.8
627,Beyond,(I) (2016–2018),"Drama, Fantasy, Mystery",7.0
628,Dora the Explorer,(2000–2019),"Animation, Adventure, Comedy",4.2
629,Stan Against Evil,(2016–2018),"Comedy, Fantasy, Horror",7.3
630,Daniel Tiger's Neighborhood,(2012– ),"Animation, Family, Fantasy",7.4
631,Green Eggs and Ham,(2019– ),"Animation, Adventure, Comedy",8.2
632,Saiyûki,(1978–2004),"Action, Family, Adventure",8.4
633,Mushishi,(2005–2006),"Animation, Drama, Fantasy",8.5
634,Kamisama hajimemashita,(2012– ),"Animation, Comedy, Fantasy",8.1
635,The Colour of Magic,(2008),"Adventure, Comedy, Fantasy",7.1
636,Chowder,(2007–2010),"Animation, Short, Adventure",7.3
637,The Almighty Johnsons,(2011–2013),"Comedy, Drama, Fantasy",8.2
638,Moominvalley,(2019– ),"Animation, Drama, Family",7.2
639,Hataraku Maou-sama!,(2013– ),"Animation, Action, Comedy",7.7
640,Teletubbies,(1997–2001),"Family, Fantasy, Musical",3.8
641,Shikkaku-mon no saikyô kenja,(2022– ),"Animation, Adventure, Fantasy",7.7
642,Sôru îtâ,(2008–2009),"Animation, Action, Adventure",7.8
643,Baywatch Nights,(1995–1997),"Action, Crime, Drama",3.8
644,Clannad,(2007–2008),"Animation, Comedy, Drama",7.8
645,Tinted with You,(2021–2022),"Fantasy, Romance",7.7
646,Chambers,(2019),"Drama, Fantasy, Horror",6.5
647,The Marvelous Misadventures of Flapjack,(2008–2010),"Animation, Short, Adventure",7.8
648,Chip 'n' Dale Rescue Rangers,(1988–1990),"Animation, Action, Adventure",7.6
649,Power Rangers Dino Charge,(2015–2016),"Action, Adventure, Family",6.5
650,Beowulf: Return to the Shieldlands,(2016),"Action, Adventure, Drama",5.8
651,Jojo no kimyô na bôken,(1993–2002),"Animation, Action, Adventure",7.8
652,Magi: The Labyrinth of Magic,(2012–2014),"Animation, Action, Adventure",7.8
653,Mickey Mouse,(2013–2019),"Animation, Short, Adventure",8.1
654,Dogs in Space,(2021– ),"Animation, Action, Adventure",7.3
655,One Lane Bridge,(2020– ),"Crime, Drama, Fantasy",6.6
656,Thomas & Friends: All Engines Go!,(2021– ),"Adventure, Comedy, Drama",1.9
657,My Secret Identity,(1988–1991),"Action, Adventure, Comedy",7.3
658,She-Ra: Princess of Power,(1985–1987),"Animation, Action, Adventure",6.9
659,Forbidden Science,(2009),"Drama, Fantasy, Mystery",5.4
660,Darker Than Black: Kuro no keiyakusha,(2007–2010),"Animation, Action, Drama",7.7
661,Dramaworld,(2016–2021),"Short, Comedy, Drama",7.4
662,Power Rangers Beast Morphers,(2019–2020),"Action, Adventure, Comedy",6.8
663,Sekirei,(2008–2010),"Animation, Action, Comedy",7.3
664,Sikeurit Gadeun,(2010–2011),"Comedy, Drama, Fantasy",8.1
665,Plunderer,(2020– ),"Animation, Action, Fantasy",6.4
666,Milo Murphy's Law,(2016–2019),"Animation, Short, Action",7.5
667,The Adventures of Sinbad,(1996–1998),"Fantasy, Action, Adventure",7.1
668,Leadale no Daichi nite,(2022– ),"Animation, Adventure, Fantasy",7.2
669,Ultraman,(2019– ),"Animation, Action, Adventure",6.8
670,Labyrinth,(2012),"Adventure, Drama, Fantasy",5.9
671,Alice,(2009),"Adventure, Drama, Fantasy",7.3
672,Beauty & The Beast,,"Comedy, Drama, Family", 
673,Toraburu,(2008–2010),"Animation, Action, Comedy",6.5
674,The Unsettling,(2019– ),"Crime, Fantasy, Horror",5.3
675,Ashes of Love,(2018),"Comedy, Fantasy, Romance",8.4
676,BeastMaster,(1999–2002),"Action, Adventure, Fantasy",6.3
677,Topper,(1953–1955),"Fantasy, Comedy",8.3
678,The Storyteller,(1987–1989),"Adventure, Drama, Family",8.9
679,Ano hi mita hana no namae o bokutachi wa mada shiranai.,(2011),"Animation, Adventure, Drama",8.2
680,Thriller,(1973–1976),"Crime, Drama, Fantasy",7.8
681,Hong Cheon Gi,(2021– ),"Drama, Fantasy, History",7.7
682,Smurfs,(1981–1989),"Animation, Adventure, Comedy",7.2
683,Sonic Boom,(2014–2017),"Animation, Short, Action",7.0
684,"Shin no Nakama ja Nai to Yuusha no Party o Oidasareta node, Henkyou de Slow Life Suru Koto ni Shimashita",(2021– ),"Animation, Adventure, Fantasy",6.7
685,B: The Beginning,(2018– ),"Animation, Action, Crime",7.2
686,Twilight of the Gods,,"Animation, Action, Adventure", 
687,Herushingu,(2001–2002),"Animation, Action, Fantasy",7.8
688,Fraggle Rock,(1987–1988),"Animation, Adventure, Comedy",7.3
689,Thundercats,(2011–2012),"Animation, Action, Adventure",7.8
690,Entrelazados,(2021– ),"Comedy, Drama, Fantasy",6.8
691,Supernatural: The Animation,(2011),"Animation, Drama, Fantasy",7.4
692,Dungeons & Dragons,(1983–1985),"Animation, Adventure, Comedy",8.0
693,The Returned,(2015),"Drama, Fantasy, Horror",7.1
694,That Mitchell and Webb Look,(2006–2010),"Comedy, Fantasy",8.0
695,Red vs. Blue,(2003– ),"Animation, Short, Action",8.3
696,Ghoul,(2018),"Drama, Fantasy, Horror",7.1
697,Tokyo Ghoul: Root A,(2015),"Animation, Action, Drama",7.6
698,Vampirina,(2017–2021),"Animation, Short, Comedy",6.6
699,Interspecies Reviewers,(2020– ),"Animation, Comedy, Fantasy",7.5
700,Afro Samurai,(2007),"Animation, Action, Adventure",7.7
701,Orient,(2022– ),"Animation, Adventure, Fantasy",6.8
702,Kotetsujo no Kabaneri,(2016– ),"Animation, Action, Adventure",7.2
703,Diablero,(2018–2020),"Adventure, Drama, Fantasy",6.7
704,Ore dake Haireru Kakushi Dungeon,(2021),"Animation, Action, Adventure",6.5
705,Akagami no Shirayuki-hime,(2015–2016),"Animation, Drama, Fantasy",7.8
706,Round the Twist,(1989–2001),"Comedy, Family, Fantasy",8.1
707,Trickster,(I) (2020),"Drama, Fantasy, Mystery",6.9
708,Neverland,(2011),"Adventure, Fantasy",6.4
709,Battle Through the Heavens,(2017– ),"Animation, Action, Adventure",8.9
710,Rubí,(2004),"Adventure, Drama, Family",8.1
711,Aquaman: King of Atlantis,(2021),"Animation, Short, Action",5.9
712,Kamp Koral: SpongeBob's Under Years,(2021– ),"Animation, Short, Adventure",3.8
713,Tensai Ouji no Akaji Kokka Saiseijutsu,(2022– ),"Animation, Comedy, Fantasy",7.8
714,The Worst Witch,(1998–2001),"Adventure, Comedy, Drama",7.2
715,Mickey Mouse Funhouse,(2021– ),"Animation, Short, Adventure",6.1
716,Your Pretty Face Is Going to Hell,(2013– ),"Comedy, Fantasy",7.8
717,Evermoor,(2014– ),"Adventure, Family, Fantasy",6.3
718,Siempre Bruja,(2019– ),"Drama, Fantasy",6.3
719,H.R. Pufnstuf,(1969–1970),"Adventure, Family, Fantasy",7.4
720,Attack on Titan: Junior High,(2015),"Animation, Action, Adventure",7.1
721,Yasamayanlar,(2018),"Drama, Fantasy",5.4
722,The Twilight Zone,(2002–2003),"Drama, Fantasy, Horror",7.2
723,Dragon Ball GT: Doragon bôru jîtî,(1996–2003),"Animation, Action, Adventure",6.8
724,Eastwick,(2009–2010),"Drama, Fantasy",6.4
725,Kung Fu Panda: Legends of Awesomeness,(2011–2016),"Animation, Action, Adventure",7.1
726,Chuunibyou demo koi ga shitai!,(2012– ),"Animation, Comedy, Drama",7.4
727,The Messengers,(2015),"Drama, Fantasy, Mystery",6.5
728,Myeongbulheojeon,(2017),"Drama, Fantasy, Romance",8.0
729,Kid Cosmic,(2021–2022),"Animation, Short, Action",7.9
730,Haereul poomeun dal,(2012),"Drama, Fantasy, Romance",8.0
731,Witchblade,(2001–2002),"Action, Drama, Fantasy",6.5
732,The Wonderful World of Mickey Mouse,(2020– ),"Animation, Short, Adventure",7.8
733,Street Fighter: Assassin's Fist,(2014),"Action, Adventure, Drama",7.3
734,Rozario to banpaia,(2008),"Animation, Comedy, Fantasy",6.9
735,Ben & Holly's Little Kingdom,(2009– ),"Animation, Adventure, Comedy",7.3
736,"Eerie, Indiana",(1991–1992),"Adventure, Comedy, Drama",8.2
737,Green Lantern,,"Action, Adventure, Drama", 
738,My Babysitter's a Vampire,(2011–2012),"Action, Comedy, Fantasy",7.1
739,The Birch,(2019– ),"Drama, Fantasy, Horror",6.7
740,Tsuki ga michibiku isekai-dôchû,(2021– ),"Animation, Action, Adventure",7.6
741,Spirited,(2010–2011),"Comedy, Drama, Fantasy",8.1
742,Doragon kuesuto: Dai no daibouken,(2020– ),"Animation, Action, Adventure",8.2
743,Goodnight Sweetheart,(1993–2016),"Comedy, Drama, Fantasy",7.4
744,Habaekui Shinboo,(2017),"Fantasy, Romance",6.9
745,Trinity Seven: 7-nin no Masho Tsukai,(2014–2015),"Animation, Action, Comedy",6.8
746,Eobiseu,(2019),"Crime, Fantasy, Romance",7.1
747,SuperMarioGlitchy4,(2011– ),"Animation, Adventure, Comedy",8.2
748,Saihate no Paladin,(2021– ),"Animation, Adventure, Drama",6.8
749,The Vampire Diaries: A Darker Truth,(2009),"Short, Drama, Fantasy",6.8
